#Pad  Module  Channel 
1 2 1
2 8 1
3 6 1
4 4 1
5 6 2
6 8 2
7 2 2
8 8 3
9 2 3
10 8 4
11 4 2
12 6 3
13 4 4
14 4 5
15 2 4
16 4 3
17 6 4
18 4 6
19 6 5
20 8 5
21 2 5
22 8 6
23 6 6
24 8 7
25 2 6
26 8 8
27 2 7
28 4 7
29 6 7
30 4 8
31 2 8
32 4 9
33 6 8
34 4 10
35 6 9
36 8 9
37 2 9
38 6 10
39 8 10
40 6 11
41 8 11
42 2 11
43 8 12
44 2 12
45 4 11
46 2 10
47 4 12
48 6 12
49 4 13
50 6 13
51 8 13
52 4 14
53 6 14
54 8 14
55 2 13
56 6 15
57 8 15
58 2 14
59 2 15
60 4 15
61 8 16
62 2 16
63 4 16
64 6 16
65 1 1
66 7 1
67 5 1
68 3 1
69 5 2
70 7 2
71 1 2
72 7 3
73 1 3
74 7 4
75 3 2
76 5 3
77 3 4
78 3 5
79 1 4
80 3 3
81 5 4
82 3 6
83 5 5
84 7 5
85 1 5
86 7 6
87 5 6
88 7 7
89 1 6
90 7 8
91 1 7
92 3 7
93 5 7
94 3 8
95 1 8
96 3 9
97 5 8
98 3 10
99 5 9
100 7 9
101 1 9
102 5 10
103 7 10
104 5 11
105 7 11
106 1 11
107 7 12
108 1 12
109 3 11
110 1 10
111 3 12
112 5 12
113 3 13
114 5 13
115 7 13
116 3 14
117 5 14
118 7 14
119 1 13
120 5 15
121 7 15
122 1 14
123 1 15
124 3 15
125 7 16
126 1 16
127 3 16
128 5 16
